group,D25-PreF,MPE8-PreF,ADI-PreF,ADI-PostF,101F-PreF,101F-PostF,Pali-PreF,Pali-PostF,timepoints,ID
NP 100%,148.2710862,112.8832006,5,74.63144654,47.62338,21.26744186,156.7331195,5,B1,E11
NP 100%,267.004551,789.8937002,5,251.4968553,121.4138124,64.74918316,614.2023324,80.89130435,B1,E16
NP 100%,5,132.7460246,5,105.2427673,50.34331156,75.23832404,327.5020408,44.67391304,B1,E17
NP 100%,147.6233313,180.7863432,5,81.71194969,31.45125681,37.6985393,239.7238776,32.76086957,B1,E23
NP 100%,5,124.6045764,5,173.3333333,71.77506144,72.4034211,460.5157434,45.13043478,B1,E24
NP 50%,152.0280643,130.0322085,5,42.72830189,14.99239384,5,1025.211953,5,B1,H02
NP 50%,5,174.8390442,5,71.24654088,32.5736382,14.15183548,152.8977551,5,B1,H08
NP 50%,69.89274879,183.5579001,5,59.12955975,79.8938933,38.66807611,80.46104956,49.52173913,B1,H09
NP 50%,106.879551,257.6393049,5,85.8,67.51492767,41.44061119,231.0739067,32.65217391,B1,H10
NP 50%,5,62.59099203,5,78.50691824,52.96493234,45.33576783,127.3558601,5,B1,I16
Sol,5,5,5,5,31.02524343,13.90236402,133.9657434,5,B1,E12
Sol,309.9506978,514.6434613,5,42.71194969,66.62193809,26.85787046,440.9309038,41.19565217,B1,E14
Sol,255.6040655,172.4139319,5,37.26666667,39.08672733,7.909379204,128.2262974,5,B1,E18
Sol,5,84.82118755,5,5,11.65801991,5,64.62997085,5,B1,E21
PostF,5,5,36.82,137,49.99,63.84,93.15,138.3,B1,08D017
PostF,5,5,11.25,44.05,14.31,15.82,31.43,46.75,B1,KEB
PostF,5,12.17,86.45,346.6,147.8,224.4,189.7,354.3,B1,OD-7
PostF,5,5,10.15,39.08,11.03,14.42,27.93,59.14,B1,H683
NP 100%,1151.343244,424.4960174,145.9412196,724.1745283,473.8894074,215.875937,998.9309038,521.3125,B2,E11
NP 100%,9482.732605,3371.56698,791.7062702,4263.679245,6681.637891,1235.359408,4817.237123,2389.25,B2,E16
NP 100%,541.6314725,510.320782,5,880.7264151,631.8525432,307.0394003,915.7576288,420.7708333,B2,E17
NP 100%,833.1891181,459.8356264,52.18411549,617.0943396,428.1777881,178.975591,692.6375121,164.35,B2,E23
NP 100%,278.0084951,372.6645909,57.91779358,683.1650943,594.435371,171.6311743,602.935277,370.1833333,B2,E24
NP 50%,671.2684061,85.99304852,5,178.5212264,395.5529631,32.43665193,435.1693878,94.44583333,B2,H02
NP 50%,1076.404733,788.4098479,5,715.0613208,1042.15119,275.4156256,1755.15481,751.3708333,B2,H08
NP 50%,745.7050971,271.4418537,59.59967248,942.4033019,384.3093794,213.4159139,977.9246842,427.8958333,B2,H09
NP 50%,979.887945,581,38.53031674,269.1650943,160.4146057,24.00483375,732.3790087,187.5458333,B2,H10
NP 50%,954.1278317,218.5586531,48.45340228,682.3514151,408.2711153,190.8478762,533.3876579,155.0875,B2,I16
Sol,937.7350324,227.7301231,151.9348244,292.1108491,959.5753616,145.6761484,1369.946161,133.5541667,B2,E12
Sol,4399.292071,881.3866763,280.567981,468.3537736,1085.835278,66.52758024,957.2023324,73.88625,B2,E14
Sol,1905.244741,371.5286749,99.96476621,188.9363208,296.5725618,135.8004036,1000.066375,198.8666667,B2,E18
Sol,575.7552589,193.0636495,71.1434777,109.7653302,163.3268782,19.65522775,316.2287658,37.97625,B2,E21
PostF,57.64,824.4,2573,5836,1007,1777,3921,3666,B2,08D017
PostF,5,74.5,353.1,1288,418.8,614.5,871.3,1321,B2,KEB
PostF,5,306.4,1481,2162,782.4,547.3,1550,3063,B2,OD-7
PostF,54.86,167.8,781.4,1400,407.1,600.5,687.5,1846,B2,H683